City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,airai,0,TL,1521253712,48,-8.93,125.41,85.62,1.61
1,sur,0,OM,1521253712,98,22.57,59.53,72.3,5.86
2,chokurdakh,0,RU,1521253712,34,70.62,147.9,-22.75,3.18
3,mahebourg,75,MU,1521252000,78,-20.41,57.7,80.6,11.41
4,barrow,0,AR,1521253713,36,-38.31,-60.23,66.54,13.47
5,tabas,88,IR,1521253714,21,33.6,56.92,60.69,9.66
6,port hedland,0,AU,1521250200,34,-20.31,118.58,96.8,11.41
7,talcahuano,90,CL,1521252000,93,-36.72,-73.12,60.8,18.34
8,rikitea,76,PF,1521253715,99,-23.12,-134.97,80.67,15.37
9,hrodna,56,BY,1521253715,61,53.68,23.83,16.32,20.07
10,ushuaia,75,AR,1521248400,86,-54.81,-68.31,37.4,11.41
11,mataura,0,NZ,1521253553,63,-46.19,168.86,62.04,6.53
12,kaitangata,0,NZ,1521253555,58,-46.28,169.85,59.07,11.01
13,thompson,75,CA,1521248400,41,55.74,-97.86,24.8,4.7
14,carnarvon,0,ZA,1521253623,87,-30.97,22.13,48.0,15.14
15,general roca,0,AR,1521248400,14,-39.03,-67.58,73.4,13.8
16,punta arenas,20,CL,1521252000,55,-53.16,-70.91,39.2,14.99
17,kodinsk,92,RU,1521253716,68,58.6,99.18,25.5,6.98
18,port moresby,75,PG,1521248400,66,-9.47,147.16,86.0,9.17
19,castro,88,CL,1521253717,97,-42.48,-73.76,47.1,2.39
20,bluff,20,AU,1521253623,40,-23.58,149.07,89.49,10.22
21,kampot,88,KH,1521253718,93,10.62,104.18,79.05,4.41
22,kahului,40,US,1521251760,69,20.89,-156.47,82.4,6.93
23,kovdor,36,RU,1521253719,76,67.56,30.47,9.48,2.62
24,lindi,8,TZ,1521253719,95,-10.0,39.71,68.7,2.28
25,cape town,0,ZA,1521252000,72,-33.93,18.42,59.0,3.36
26,vaini,48,IN,1521253553,92,15.34,74.49,70.77,7.31
27,hermanus,0,ZA,1521253720,86,-34.42,19.24,52.32,7.43
28,vardo,1,US,1521252900,46,39.62,-77.74,35.6,3.36
29,azul,0,AR,1521253720,50,-36.78,-59.86,60.6,9.66
30,avarua,75,CK,1521252000,69,-21.21,-159.78,82.4,5.82
31,new norfolk,0,AU,1521250200,34,-42.78,147.06,78.8,12.75
32,tabuk,0,PH,1521253721,57,17.41,121.44,78.33,2.62
33,ponta do sol,44,BR,1521253722,92,-20.63,-46.0,68.43,2.62
34,bambous virieux,75,MU,1521252000,78,-20.34,57.76,80.6,11.41
35,broome,88,GB,1521251760,100,52.47,1.45,35.6,18.34
36,jiayuguan,80,CN,1521253723,80,39.77,98.29,34.41,3.85
37,cabildo,0,CL,1521252000,87,-32.43,-71.07,55.4,1.28
38,victoria,75,BN,1521250200,78,5.28,115.24,84.2,3.36
39,iqaluit,90,CA,1521251100,71,63.75,-68.52,8.6,12.75
40,baruun-urt,0,MN,1521253724,38,46.68,113.28,39.99,5.86
41,ilesha,44,NG,1521253725,91,7.14,5.26,74.37,7.09
42,kapaa,1,US,1521251760,66,22.08,-159.32,84.2,8.05
43,longyearbyen,75,NO,1521251400,86,78.22,15.63,28.4,24.16
44,atuona,92,PF,1521253725,98,-9.8,-139.03,82.29,17.27
45,ancud,92,CL,1521253726,96,-41.87,-73.83,49.8,2.73
46,ostrovnoy,64,RU,1521253726,84,68.05,39.51,7.05,7.09
47,fereydunshahr,0,IR,1521253726,79,32.94,50.12,22.71,2.62
